CPE Status,Customer,Etherway,Etherflow Ref,Serial Number,Siebel Ref,CPEType,Address (County),Person,SFP Type LAN (Adva),Created,SFP Type WAN (Adva),date,CPEs,SFPs,ADVA825s,ADVA201s,ADVAXG210s,Ciscos,Huaweis,Nokias
Engineer Collected,Concert B-end,CNCRETHW49521,CNCRETHGM49522,800009f0030080ead17950,1-868476811,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,01/11/2018,Adva 10K Dual Fibre SFP,07/01/2019,1,1,0,1,0,0,0,0
Courier Shipped to Site,Concert B end,CNCRETHW50177,CNCRETHGM50178,800009f0030080ead17540,1-869267030,ADVA GE201,LONGFORD,M.O'Driscoll,N/A - Adva Electrical Port,02/11/2018,Adva 10K Dual Fibre SFP,07/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Cable & Wireless,CWCMETHW50091,CWCMETHG50092,800009f0030080ead174a0,1-868334771,ADVA GE201,WATERFORD,P.Fox,N/A - Adva Electrical Port,05/11/2018,Adva 10K Dual Fibre SFP,26/11/2018,1,1,0,1,0,0,0,0
Engineer Collected,Concert B Ends,CNCRETHW50083,CNCRETHGM50084,800009f0030080ead17740,1-868472101,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,05/11/2018,Adva 10K Single Fibre SFP,29/11/2018,1,1,0,1,0,0,0,0
Cancelled Order,AT&T,ATATETHW50282,ATATETHG50283,800009f0030080ead17400,1-868952891,ADVA GE201,LOUTH,P.Fox,N/A - Adva Electrical Port,05/11/2018,Adva 10K Dual Fibre SFP,14/01/2019,1,1,0,1,0,0,0,0
Engineer Collected,worldcom,WOCMETHW50226,WOCMETHG50227,800009f0030080ead17660,1-869012461,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,05/11/2018,Adva 10K Dual Fibre SFP,08/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Pfizer Shared Services,PFIZETHW49313,PFIZETHICG49314,800009f0030080ea94a9e0,1-868698041,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,06/11/2018,Adva 10K Single Fibre SFP,08/11/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Cable & Wireless,CWCMETHW50222,CWCMETHG50223,800009f0030080ead17520,1-868697211,ADVA GE201,DUBLIN,P.Fox,Adva Dual Fibre SFP (10k),06/11/2018,Adva 10K Single Fibre SFP,08/11/2018,1,2,0,1,0,0,0,0
Ballymount Stores,NOVA NETWORKS LIMITED,NOVAETHW49993,NOVAETHG49994,800009f0030080ead17640,1-868061691,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,06/11/2018,Adva 10K Single Fibre SFP,25/02/2019,1,1,0,1,0,0,0,0
Limerick Office,Glanbia,GLANETHW50086,GLANETHGIPCI50087,800009f0030080ead17550,1-868670871,ADVA GE201,TIPPERARY,P.Devins,N/A - Adva Electrical Port,07/11/2018,Adva 10K Dual Fibre SFP,06/12/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Cable & Wireless,CWCETHW50224,CWCETHG50225,800009f0030080ead17570,1-868670871,ADVA GE201,DUBLIN,P.Fox,Adva Dual Fibre SFP (10k),08/11/2018,Adva 10K Dual Fibre SFP,18/12/2018,1,2,0,1,0,0,0,0
Cork Office,Concert B-end,CNCRETHW50416,CNCRETHICG50417,800009f0030080ea94a110,1-869013021,ADVA GE201,CORK,D.Carty,N/A - Adva Electrical Port,08/11/2018,Adva 10K Dual Fibre SFP,14/03/2019,1,1,0,1,0,0,0,0
Engineer Collected,Accenture,ACCEETHW47238,ACCEETHICG47239,,1-861239741,ADVA GE201,DUBLIN,N.Sexton,N/A - Adva Electrical Port,08/11/2018,Adva 10K Single Fibre SFP,08/11/2018,1,1,0,1,0,0,0,0
Cancelled Order,Concert-B-ends,CNCRETHW50181,CNCRETHGG50182,800009f0030080ea94a1d0,1-868690308,ADVA GE201,DUBLIN,G.Moran,N/A [Adva Electrical Port],08/11/2018,Adva 10K Dual Fibre SFP,22/01/2019,1,1,0,1,0,0,0,0
Courier Shipped to Site,CL0055 Tullow Hill - THREE,NA,N/A,0000197f00004c5fd20c63a0,1-856183731,ADVA GE201,CARLOW,N.Sexton,N/A,08/11/2018,N/A,21/11/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Telcom Limited,TELEETHW50355,TELEETHG50356,800009f0030080ea94a4e0,1-869049451,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,09/11/2018,Adva 10K Single Fibre SFP,12/12/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Colt Telecom,COLTETHW50353,COLTETHG50354,800009f0030080ea94a0f0,1-869331171,ADVA GE201,LIMERICK,D.Carty,N/A - Adva Electrical Port,09/11/2018,Adva 10K Dual Fibre SFP,06/12/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Global Crossing,GLCRETHW49958,GLCRETHG49959,800009f0030080ea94a250,1-868815381,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,09/11/2018,Adva 10K Single Fibre SFP,14/01/2019,1,1,0,1,0,0,0,0
Engineer Collected,Skerries 5R - CFN,NA,N/A,,1-999999999,NOKIA 5R,DUBLIN,N.Sexton,N/A,12/11/2018,N/A,12/11/2018,1,1,0,0,0,0,0,1
Ballymount Stores,Rockley Photonics Ireland Limited,ROCKETHW49973,ROCKETHGIP49982,800009f0030080ea94a080,1-868476791,ADVA GE201,CORK,P.Fox,N/A - Adva Electrical Port,12/11/2018,Adva 10K Single Fibre SFP,15/11/2018,1,1,0,1,0,0,0,0
Engineer Collected,AT & T,ATATETHW49634,ATATETHG49635,800009f0030080ea94a840,1-866963861,ADVA GE201,DUBLIN,S.Mernagh,N/A - Adva Electrical Port,12/11/2018,Adva 10K Single Fibre SFP,20/03/2019,1,1,0,1,0,0,0,0
Engineer Collected,World Com MCI,WOCMETHW50434,WOCMETHG50435,800009f0030080ea94a550,1-869525251,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,12/11/2018,Adva 10K Dual Fibre SFP,11/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,DU1222 Leixlip - THREE,NA,N/A,,1-867248781,NOKIA 7210 SAS-M,KILDARE,N.Sexton,N/A,12/11/2018,N/A,15/11/2018,1,1,0,0,0,0,0,1
Engineer Collected,Pure Telecom Limited,PUREETHW50420,PUREETHGIP50421,800009f0030080ea94a140,1-869330531,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,12/11/2018,Adva 10K Dual Fibre SFP,07/02/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Concert B Ends,CNCRETHW49983,CNCRETHGM49984,800009f0030080ea94a7c0,1-868334491,ADVA GE201,CLARE,P.Fox,N/A - Adva Electrical Port,12/11/2018,Adva 10K Dual Fibre SFP,15/11/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Permanent LTD,PERMETHW50150,PERMETHG50151,800009f0030080eab1bad0,1-868667771,ADVA XG210,KERRY,P.Devins,Adva 10G XFP 10km,12/11/2018,Adva 10G XFP 10km,15/11/2018,1,2,0,0,1,0,0,0
Cork Office,Pure Telecom,PUREETHW50399,PUREETHGIP50400,800009f0030080ea94a290,1-869282931,ADVA GE201,WATERFORD,D.Carty,N/A - Adva Electrical Port,13/11/2018,Adva 10K Dual Fibre SFP,07/06/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Ulster Bank,ULSTETHW50081,ULSTETHG50082,800009f0030080ea94a270,1-868697671,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,13/11/2018,Adva 10K Dual Fibre SFP,15/11/2018,1,1,0,1,0,0,0,0
Engineer Collected,Concert B Ends,CNCRETHW50440,CNCRETHGM50441,800009f0030080ea94a480,1-869422581,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,14/11/2018,Adva 10K Dual Fibre SFP,11/12/2018,1,1,0,1,0,0,0,0
Engineer Collected,Concert B-end,CNCRETHW50397,CNCRETHGM50398,800009f0030080ea94a700,1-869589951,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,14/11/2018,Adva 10K Dual Fibre SFP,10/01/2019,1,1,0,1,0,0,0,0
Courier Shipped to Site,LO0103 Donore ESB - THREE,NA,N/A,,1-858317791,NOKIA 7210 SAS-MXP,LOUTH,N.Sexton,N/A,15/11/2018,N/A,10/12/2018,1,1,0,0,0,0,0,1
Ballymount Stores,Global Crossing Ireland Ltd,GLCRETHW50537,GLCRETHG50538,800009f0030080ea94a750,1-869478031,ADVA GE201,KERRY,P.Fox,N/A - Adva Electrical Port,16/11/2018,Adva 10K Dual Fibre SFP,27/11/2018,1,1,0,1,0,0,0,0
Engineer Collected,World Com MCI,WOCMETHW50284,WOCMETHG50285,800009f0030080ea94a5f0,1-869348591,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,16/11/2018,Adva 10K Single Fibre SFP,11/03/2019,1,1,0,1,0,0,0,0
Ballymount Stores,AT&T,ATATETHW50378,ATATETHG50379,800009f0030080ea94a520,1-869348371,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,16/11/2018,Adva 10K Single Fibre SFP,27/11/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Dixons,NA,N/A,FCZ2043135J,1-868496213,CISCO 897VAG-LTE,DUBLIN,S.Mernagh,N/A,16/11/2018,N/A,03/12/2018,1,1,0,0,0,1,0,0
Engineer Collected,Concert B Ends,CNCRETHW50573,CNCRETHGM50574,800009f0030080ea94a100,1-869589541,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,19/11/2018,Adva 10K Dual Fibre SFP,11/12/2018,1,1,0,1,0,0,0,0
Engineer Collected,Glen Dimplex,GLENETHGM28776,GLENETHGM28776,,1-867893431,CISCO ISR 4331-K9,LOUTH,N.Sexton,N/A,19/11/2018,N/A,18/01/2019,1,1,0,0,0,1,0,0
Engineer Collected,Concert B Ends,CNCRETHW50073,CNCRETHGM50074,800009f0030080ea94a660,1-869282711,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,19/11/2018,Adva 10K Single Fibre SFP,02/05/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Equant,ORBSETHW50422,ORBSETHGIP50423,LBADVA71114507602 replacing  800009f0030080ea9489d0,1-869477391,ADVA 825,DUBLIN,D.Carty,N/A - Adva Electrical Port,19/11/2018,Adva 10K Single Fibre SFP,11/02/2019,1,1,1,0,0,0,0,0
Engineer Collected,LK0147 Limerick Ind. Estate - THREE,NA,N/A,,1-870045932,NOKIA 7210 SAS-MXP,LIMERICK,N.Sexton,N/A,20/11/2018,N/A,20/11/2018,1,1,0,0,0,0,0,1
Courier Shipped to Site,AT&T,ATATETHW49776,ATATETHG49777,800009f0030080ea94a710,1-867503551,ADVA GE201,GALWAY,D.Carty,N/A - Adva Electrical Port,20/11/2018,Adva 10K Dual Fibre SFP,05/12/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Zagg International Distribution,ZAGGETHW49956,ZAGGETHGIP49957,800009f0030080ea94a7d0,1-869422591,ADVA GE201,CLARE,D.Carty,N/A - Adva Electrical Port,20/11/2018,Adva 10K Single Fibre SFP,06/12/2018,1,1,0,1,0,0,0,0
Engineer Collected,Pure Telecom Limited,PUREETHW50188,PUREETHGIP50189,800009f0030080ea94a640,1-868952331,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,21/11/2018,Adva 10K Single Fibre SFP,04/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,Global Crossing,GLCRETHW50535,GLCRETHG50536,800009f0030080ea94a500,1-869497191,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,21/11/2018,Adva 10K Single Fibre SFP,13/03/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Global Crossing Ireland Ltd,GLCRETHW50585,GLCRETHG50586,800009f0030080ea94a2f0,1-869986961,ADVA GE201,DUBLIN,P.Fox,Adva Dual Fibre SFP (10k),21/11/2018,Adva 10K Dual Fibre SFP,27/11/2018,1,2,0,1,0,0,0,0
Engineer Collected,Concert-B-ends,CNCRETHW50273,CNCRETHGM50274,800009f0030080ea94a430,1-868951871,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,21/11/2018,Adva 40K Single Fibre SFP,27/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,BT Communications LTD (Telephony),NA,N/A,FCZ2049E2G3,1-868475751,CISCO 887VAG+7-lte,DUBLIN,P.Fox,N/A,23/11/2018,N/A,08/01/2019,1,1,0,0,0,1,0,0
Ballymount Stores,Ulster Bank,NA,N/A,210235384410D9000363,1-868198338,HUAWEI AR208E,DUBLIN,P.Fox,N/A,23/11/2018,N/A,27/11/2018,1,1,0,0,0,0,1,0
Ballymount Stores,Equant,ORBSETHW50339,ORBSETHG50340,800009f0030080ead19870,1-870052311,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,26/11/2018,Adva 10K Dual Fibre SFP,06/06/2019,1,1,0,1,0,0,0,0
Engineer Collected,O2,ESDGETHW50513,ESDGETHG50514,800009f0030080ea94a450,1-869526381,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,26/11/2018,Adva 10K Single Fibre SFP,25/02/2019,1,1,0,1,0,0,0,0
Ballymount Stores,GTT - EMEA LTD,GTTEETHW50494,GTTEETHG50495,800009f0030080ea94a4a0,1-869672711,ADVA GE201,DUBLIN,P.Fox,Adva Dual Fibre SFP (10k),26/11/2018,Adva 10K Dual Fibre SFP,27/11/2018,1,2,0,1,0,0,0,0
Ballymount Stores,Vodafone,VODAETHW50555,VODAETHG50556,800009f0030080ea94a610,1-869779861,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,26/11/2018,Adva 10K Single Fibre SFP,27/11/2018,1,1,0,1,0,0,0,0
Engineer Collected,Vodafone,VODAETHW50554,VODAETHG50556,800009f0030080eab1bb78,1-869779861,ADVA XG210,DUBLIN,G.Moran,Adva 10G XFP 10km,26/11/2018,Adva 10G XFP 10km,15/03/2019,1,2,0,0,1,0,0,0
Ballymount Stores,Equant,ORBSETHW50583,ORBSETHG50584,800009f0030080ea94a3a0,1-869672121,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,26/11/2018,Adva 10K Single Fibre SFP,27/11/2018,1,1,0,1,0,0,0,0
Engineer Collected,Worldcom,WOCMETHW50436,WOCMETHG50437,800009f0030080ea94a3c0,1-869845741,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,26/11/2018,Adva 10K Dual Fibre SFP,10/01/2019,1,1,0,1,0,0,0,0
Courier Shipped to Site,CK0597 Blackpool CIE - THREE,NA,N/A,,1-999999999,NOKIA 7210 SAS-MXP,CORK,N.Sexton,N/A,27/11/2018,N/A,27/11/2018,1,1,0,0,0,0,0,1
Courier Shipped to Site,Concert B End,CNCRETHW50195,CNCRETHGM50196,,1-999999999,ADVA 825,CORK,N.Sexton,N/A - Adva Electrical Port,28/11/2018,Adva 10K Dual Fibre SFP,28/11/2018,1,1,1,0,0,0,0,0
Courier Shipped to Site,CK0112 Ballybeg Farm - THREE,NA,N/A,,1-869826401,NOKIA 7210 SAS-MXP,CORK,N.Sexton,N/A,29/11/2018,N/A,29/11/2018,1,1,0,0,0,0,0,1
Courier Shipped to Site,GA0126 EOT Offices Galway - THREE,NA,N/A,,1-868645181,NOKIA 7210 SAS-MXP,GALWAY,N.Sexton,N/A,29/11/2018,N/A,29/11/2018,1,1,0,0,0,0,0,1
Engineer Collected,Strencom,STRNETHW50633,STRNETHG50634,800009f0030080ea94a320,1-869806681,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,30/11/2018,Adva 10K Single Fibre SFP,08/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,AWAS (Ireland ) Limited,NA,N/A,FCZ2242403B,1-870074631,CISCO ISR 4431-K9,DUBLIN,S.Mernagh,N/A,30/11/2018,N/A,04/12/2018,1,1,0,0,0,1,0,0
Engineer Collected,Worldcom,WOCMETHW50817,WOCMETHG50818,800009f0030080ea94a470,1-870425901,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,30/11/2018,Adva 10K Dual Fibre SFP,08/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Glen DImplex,GLENETHW50359,GLENETHGIP50360,800009f0030080ea94a6a0,1-867952491,ADVA GE201,LOUTH,D.Carty,N/A - Adva Electrical Port,30/11/2018,Adva 10K Dual Fibre SFP,10/05/2019,1,1,0,1,0,0,0,0
Engineer Collected,worldcom,WOCMETHW50403,WOCMETHG50404,800009f0030080ea9495b0,1-870065211,ADVA GE201,KERRY,G.Moran,N/A - Adva Electrical Port,30/11/2018,Adva 10K Dual Fibre SFP,15/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,Colt Telecom,COLTETHW50230,COLTETHG50231,800009f0030080ead176d0,1-868951101,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,30/11/2018,Adva 40K Single Fibre SFP,02/01/2019,1,1,0,1,0,0,0,0
Engineer Collected,O2 Communications,EDGEETHW50675,EDGEETHG50676,800009f0030080ea94a420,1-869969961,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,03/12/2018,Adva 10K Single Fibre SFP,08/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,SK Biotek,SKBIETHW50184,SKBIETHG50740,800009f0030080ead17610,1-870661378,ADVA GE201,DUBLIN,G.Moran,N/A - Adva Electrical Port,05/12/2018,Adva 40K Single Fibre SFP,11/12/2018,1,1,0,1,0,0,0,0
Engineer Collected,Cable & Wireless,CWCMETHW50879,CWCMETHG50880,800009f0030080ea94a6f0,1-871070161,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,05/12/2018,Adva 10K Dual Fibre SFP,11/02/2019,1,1,0,1,0,0,0,0
Ballymount Stores,AT&T,ATATETHW50822,ATATETHG50823,800009f0030080ea94a150,1-870658951,ADVA GE201,CARLOW,P.Fox,N/A - Adva Electrical Port,06/12/2018,Adva 10K Dual Fibre SFP,10/12/2018,1,1,0,1,0,0,0,0
Ballymount Stores,KR0187 Cahersiveen ESB - THREE,NA,N/A,,1-867174781,NOKIA 7210 SAS-M,CORK,N.Sexton,N/A,06/12/2018,N/A,14/01/2019,1,1,0,0,0,0,0,1
Engineer Collected,AT&T,ATATETHW50575,ATATETHG50576,LBADVA71102002209,1-871042321,ADVA 825,DUBLIN,D.Carty,N/A - Adva Electrical Port,06/12/2018,Adva 10K Single Fibre SFP,12/02/2019,1,1,1,0,0,0,0,0
Engineer Collected,Concert B Ends,CNCRETHW49877,CNCRETHICG49878,800009f0030080ead17690,1-867933071,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,07/12/2018,Adva 10K Single Fibre SFP,11/01/2019,1,1,0,1,0,0,0,0
Engineer Collected,AT&T,ATATETHW50735,ATATETHG50736,800009f0030080ea94a360,1-870425501,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,07/12/2018,Adva 10K Single Fibre SFP,07/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,Colt Telecom,COLTETHW49995,COLTETHG49996,800009f0030080ead176f0,1-869473761,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,07/12/2018,Adva 10K Single Fibre SFP,21/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,Analog Devices,ANALETHW50055,ANALETHG50056,800009f0030080ea94a730,1-869907401,ADVA GE201,LIMERICK,P.Fox,N/A - Adva Electrical Port,07/12/2018,Adva 10K Single Fibre SFP,22/01/2019,1,1,0,1,0,0,0,0
Limerick Office,Analogue Devices,ANALETHW50055,ANALETHG50056,FDO2224A29Z,1-869907401,CISCO ISR 4351-K9,LIMERICK,S.Mernagh,N/A,10/12/2018,N/A,20/03/2019,1,1,0,0,0,1,0,0
Ballymount Stores,DU0009 Clarion Hotel - THREE,NA,N/A,0000197f00008cf773f58ef7,1-870045581,NOKIA 7210 SAS-MXP,DUBLIN,N.Sexton,N/A,10/12/2018,N/A,14/01/2019,1,1,0,0,0,0,0,1
Engineer Collected,Global Crossing,GLCRETHW50906,GLCRETHG50907,800009f0030080ea94a6e0,1-871043361,ADVA GE201,KILDARE,D.Carty,N/A - Adva Electrical Port,11/12/2018,Adva 10K Dual Fibre SFP,07/01/2019,1,1,0,1,0,0,0,0
Engineer Collected,Global Crossing,GLCRETHW50910,GLCRETHG50911,800009f0030080ea94a720,1-871267661,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,12/12/2018,Adva 10K Dual Fibre SFP,11/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Equant,ORBSETHW50799,ORBSETHG50800,800009f0030080ea94a620,1-870620431,ADVA GE201,DUBLIN,S.Mernagh,N/A - Adva Electrical Port,12/12/2018,Adva 10K Dual Fibre SFP,13/12/2018,1,1,0,1,0,0,0,0
Ballymount Stores,Irish Telecom,ITELETHW50704,ITELETHG50706,800009f0030080eacc5700,1-870456211,ADVA XG210,DUBLIN,D.Carty,N/A - Adva Electrical Port,12/12/2018,Adva 10G XFP 10km,16/01/2019,1,1,0,0,1,0,0,0
Engineer Collected,Irish Telecom,ITELETHW50705,ITELETHG50706,800009f0030080ea94a650,1-870456211,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,12/12/2018,Adva 10K Single Fibre SFP,09/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Pfizer,PFIZETHW49313,PFIZETHICG49314,FDO2241A0XM,1-868698041,CISCO ISR 4321-K9,DUBLIN,N.Sexton,N/A,13/12/2018,N/A,17/12/2018,1,1,0,0,0,1,0,0
Ballymount Stores,Global Crossing,GLCRETHW50278,GLCRETHG50279,800009f0030080ea949fd0,1-870287861,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,13/12/2018,Adva 10K Dual Fibre SFP,28/05/2019,1,1,0,1,0,0,0,0
Engineer Collected,LYNOTT TELECONSULT LIMITED,LYNOETHW50858,LYNOETHG50859,800009f0030080ea94a330,1-871070381,ADVA GE201,DUBLIN,D.Carty,Adva Dual Fibre SFP (10k),13/12/2018,Adva 10K Dual Fibre SFP,07/02/2019,1,2,0,1,0,0,0,0
Ballymount Stores,LYNOTT TELECONSULT LIMITED,LYNOETHW50857,LYNOETHG50859,800009f0030080ea94a7e0,1-871070381,ADVA GE201,DUBLIN,D.Carty,Adva Dual Fibre SFP (10k),13/12/2018,Adva 10K Dual Fibre SFP,24/12/2018,1,2,0,1,0,0,0,0
Engineer Collected,World Com MCI,WOCMETHW50496,WOCMETHG50497,800009f0030080ea94a830,1-870459941,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,13/12/2018,Adva 10K Dual Fibre SFP,19/03/2019,1,1,0,1,0,0,0,0
Ballymount Stores,NORTON WATERFORD LIMITED,NORTETHW48370,NORTETHGG48371,800009f0030080ea94a210,1-869048931,ADVA GE201,WATERFORD,D.Carty,N/A - Adva Electrical Port,14/12/2018,Adva 10K Dual Fibre SFP,14/06/2019,1,1,0,1,0,0,0,0
Engineer Collected,MCI Worldcom,WOCMETHW50819,WOCMETHG50820,800009f0030080ea94a350,1-870623171,ADVA GE201,DUBLIN,S.Davidson,Adva RJ45 SFP,17/12/2018,Adva 10K Single Fibre SFP,30/01/2019,1,2,0,1,0,0,0,0
Ballymount Stores,World Com MCI,WOCMETHW50914,WOCMETHG50915,800009f0030080ea94a880,1-871320111,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,17/12/2018,Adva 10K Single Fibre SFP,19/04/2019,1,1,0,1,0,0,0,0
Engineer Collected,Complete Telecom,CTELETHW50699,CTELETHG50700,800009f0030080ea94a6c0,1-871657435,ADVA GE201,KILDARE,D.Carty,N/A - Adva Electrical Port,18/12/2018,Adva 40K Single Fibre SFP,07/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Vodafone,VODAETHG50562,VODAETHW50561,800009f0030080ea9468a0,1-869806251,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,18/12/2018,Adva 10K Single Fibre SFP,24/12/2018,1,1,0,1,0,0,0,0
Engineer Collected,Cable & Wireless,CWCMETHW50877,CWCMETHG50878,800009f0030080ea94a5e0,1-871044941,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,19/12/2018,Adva 10K Single Fibre SFP,13/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,ServiceNow,SNOWETHW49753,SNOWETHICG49754,800009f0030080ea9484c0,1-871673461,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,19/12/2018,Adva 10K Single Fibre SFP,16/01/2019,1,1,0,1,0,0,0,0
Ballymount Stores,Pure Telecom Limited,PUREETHW50957,PUREETHGIP50958,800009f0030080ea94a120,1-871391341,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,20/12/2018,Adva 10K Dual Fibre SFP,24/12/2018,1,1,0,1,0,0,0,0
Engineer Collected,SPRINTLINK IRELAND LTD,SPRNETHW51056,SPRNETHG51057,800009f0030080ead18630,1-871429541,ADVA GE201,KILDARE,P.Fox,N/A - Adva Electrical Port,20/12/2018,Adva 10K Single Fibre SFP,10/01/2019,1,1,0,1,0,0,0,0
Engineer Collected,Concert B Ends,CNCRETHW49296,CNCRETHGM49297,800009f0030080ea948420,1-865903451,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,20/12/2018,Adva 10K Dual Fibre SFP,05/03/2019,1,1,0,1,0,0,0,0
Courier Shipped to Site,Ulster Bank,ULSTETHW50939,ULSTETHG50981,800009f0030080ead18840,1-871542321,ADVA GE201,KERRY,D.Carty,N/A - Adva Electrical Port,20/12/2018,Adva 10K Dual Fibre SFP,21/06/2019,1,1,0,1,0,0,0,0
Engineer Collected,Global Crossing Ireland Ltd,GLCRETHW49804,GLCRETHG49805,800009f0030080ead18aa0,1-867715351,ADVA GE201,DUBLIN,P.Fox,N/A - Adva Electrical Port,20/12/2018,Adva 10K Single Fibre SFP,07/05/2019,1,1,0,1,0,0,0,0
Engineer Collected,TELCOM Ltd,TELEETHW50922,TELEETHG50924,800009f0030080ead185a0,1-871267681,ADVA GE201,DUBLIN,R.O'Donnell,Adva Multimode SFP (10k),20/12/2018,Adva 10K Dual Fibre SFP,26/02/2019,1,2,0,1,0,0,0,0
Engineer Collected,Telcom Ltd,TELEETHW50923,TELEETHG50924,800009f0030080ead185f0,1-871267681,ADVA GE201,DUBLIN,R.O'Donnell,N/A - Adva Electrical Port,20/12/2018,Adva 10K Single Fibre SFP,12/02/2019,1,1,0,1,0,0,0,0
Engineer Collected,ATAT,ATATETHW50904,ATATETHG50905,800009f0030080ead187e0,1-871071061,ADVA GE201,DUBLIN,D.Price,N/A - Adva Electrical Port,20/12/2018,Adva 10K Single Fibre SFP,15/01/2019,1,1,0,1,0,0,0,0
Engineer Collected,Vodafone,VODAETHW51002,VODAETHG51003,800009f0030080ead186f0,1-871429641,ADVA GE201,DUBLIN,J.O'Grady,N/A - Adva Electrical Port,20/12/2018,Adva 10K Single Fibre SFP,01/04/2019,1,1,0,1,0,0,0,0
Engineer Collected,Irish Telecom,ITELETHW51015 ,ITELETHG51016,800009f0030080ead18690,1-871542151,ADVA GE201,DUBLIN,D.Carty,N/A - Adva Electrical Port,21/12/2018,Adva 10K Dual Fibre SFP,14/02/2019,1,1,0,1,0,0,0,0
Ballymount Stores,ATAT,ATATETHW51019,ATATETHG51020,800009f0030080ead18410,1-871542281,ADVA GE201,MEATH,M.Atkey,N/A - Adva Electrical Port,27/12/2018,Adva 10K Single Fibre SFP,14/01/2019,1,1,0,1,0,0,0,0
